coding	meaning
392574006	Posterior pituitary hormone
392574006	Posterior pituitary hormone
392575007	Methazolamide
392575007	Methazolamide
395264002	Tenofovir
395264002	Tenofovir
395275003	Drospirenone
395275003	Drospirenone
395789007	Metaiodobenzylguanidine[131I]
395810007	Calcium[47Ca] chloride
395894004	Tauroselcholic acid[75Se]
395747004	Indium[111In] oxine
395752009	Iomazenil[123I]
395777005	Calcium diethylenetriaminepentaacetate[111In]
395787009	Metaiodobenzylguanidine[123I]
395799002	Calcium[45Ca] chloride
386183006	Diprophylline
386183006	Diprophylline
386187007	Mesuximide
386187007	Mesuximide
386595001	Triazolopyridine
392573000	Anterior pituitary hormone
392573000	Anterior pituitary hormone
395865006	Rhenium[186Re]
395866007	Rhenium[186Re] etidronate
395867003	Rhenium[186Re] hydroxyethylidene diphosphonate
395879003	Sodium iothalamate [125I]
395882008	Sodium-[14C] glycocholate
395919009	Urea[14C]
395919009	Urea[14C]
395924007	Yttrium[90Y] silicate
395941009	Chromium[51Cr] edetate
396024004	Diethylamine-[14C] aminopyrine
396045006	Erbium[169Er] citrate
398629000	Choline theophyllinate and guaifenesin
398643005	Benzoyl peroxide and hydrocortisone
398643005	Benzoyl peroxide and hydrocortisone
398647006	Physostigmine and pilocarpine
398647006	Physostigmine and pilocarpine
398668007	Furosemide and potassium
398668007	Furosemide and potassium
398671004	Disodium citrate and nalidixic acid
398688006	Hydrochlorothiazide + spironolactone
398688006	Hydrochlorothiazide + spironolactone
398706003	Clioquinol+ascorbic acid
398706003	Clioquinol+ascorbic acid
395968009	Selective beta-1 adrenoceptor stimulants
396056006	Ferric citrate[59Fe]
396186001	Million Unit
397228002	Anisindione
397228002	Anisindione
397359002	Fusion inhibitor
397359002	Fusion inhibitor
397422004	Cefmetazole
397422004	Cefmetazole
398626007	Fluorouracil+epinephrine
398626007	Fluorouracil+epinephrine
398627003	Suprofen
398627003	Suprofen
398631009	Chlorothiazide + reserpine
398631009	Chlorothiazide + reserpine
398635000	Tridihexethyl chloride
398642000	Gallium nitrate
398642000	Gallium nitrate
398649009	Aspirin + carisoprodol
398649009	Aspirin + carisoprodol
398681000	Tetracycline+procaine
398681000	Tetracycline+procaine
398683002	Aspirin + meprobamate
398683002	Aspirin + meprobamate
398702001	Psyllium
398702001	Psyllium
398663003	Paracetamol + salicylamide
398663003	Paracetamol + salicylamide
398708002	Neomycin sulfate and polymyxin B sulfate and prednisolone acetate
398709005	Sulfabenzamide and sulfacetamide and sulfathiazole
398709005	Sulfabenzamide and sulfacetamide and sulfathiazole
398710000	Lidocaine and oxytetracycline
398710000	Lidocaine and oxytetracycline
398724001	Aprobarbital
398724001	Aprobarbital
398735006	Pectin
398735006	Pectin
398737003	Acephate
398737003	Acephate
398742006	Dyphylline + guaifenesin
398742006	Dyphylline + guaifenesin
398755007	Isopropamide
398755007	Isopropamide
398767009	Aspirin and glycine
398767009	Aspirin and glycine
398769007	Potassium iodide and theophylline
398769007	Potassium iodide and theophylline
398778001	Mequinol and tretinoin
398778001	Mequinol and tretinoin
398786001	Ampicillin and sulbactam
398786001	Ampicillin and sulbactam
398790004	Alcohol and paricalcitol and propylene glycol
398808006	Metronidazole and nystatin
398808006	Metronidazole and nystatin
398826009	Paracetamol + butalbital
398826009	Paracetamol + butalbital
398648001	Product containing nicotinic acid and lovastatin
398648001	Product containing nicotinic acid and lovastatin
398714009	Paracetamol + dichloralantipyrine + isometheptene
398714009	Paracetamol + dichloralantipyrine + isometheptene
398731002	Sulphamethoxazole + trimethoprim
398731002	Sulphamethoxazole + trimethoprim
398785002	Paracetamol + Sodium salicylate
398785002	Paracetamol + Sodium salicylate
398814004	Paracetamol + butalbital + caffeine
398814004	Paracetamol + butalbital + caffeine
398720005	Benzoyl peroxide + sulphur
398720005	Benzoyl peroxide + sulphur
398732009	Paracetamol + caffeine + isometheptene mucate
398743001	Amylase and lipase and protease
398743001	Amylase and lipase and protease
398791000	Aspartame
398791000	Aspartame
398816002	Triflupromazine
398816002	Triflupromazine
398818001	Sodium phenylacetate
398818001	Sodium phenylacetate
398822006	Hydrochlorothiazide + reserpine
398822006	Hydrochlorothiazide + reserpine
398794008	Paracetamol+chlormezanone
398794008	Paracetamol+chlormezanone
398829002	Menthol+benzoin
398829002	Menthol+benzoin
398840005	Neomycin sulfate and polymyxin B sulfate and zinc bacitracin
398843007	Hydrocortisone and neomycin sulfate and polymyxin B sulfate
398881002	Denileukin Diftitox
398881002	Denileukin Diftitox
398803002	Atropine sulphate+edrophonium chloride
398847008	Zinc+ichthammol
398847008	Zinc+ichthammol
398849006	Chymopapain
398849006	Chymopapain
398863000	Attapulgite
398863000	Attapulgite
398877002	Benzalkonium chloride and tolnaftate
398880001	Dexamethasone and neomycin sulfate and polymyxin B sulfate
398879004	Urea hydrogen peroxide
398879004	Urea hydrogen peroxide
398882009	Propylhexedrine
398882009	Propylhexedrine
398883004	Tranylcypromine + Trifluoperazine
398883004	Tranylcypromine + Trifluoperazine
398889000	Chlorothiazide + methyldopa
398889000	Chlorothiazide + methyldopa
398893006	Dexamethasone sodium phosphate and neomycin sulfate
398897007	Epinephryl borate
398897007	Epinephryl borate
398916003	Sulbactam
398916003	Sulbactam
398918002	Co-methiamol
398918002	Co-methiamol
398927001	Mequinol
398927001	Mequinol
398929003	Masoprocol
398929003	Masoprocol
398936002	Tetracycline+nystatin
398936002	Tetracycline+nystatin
398941005	Hydrochlorothiazide + methyldopa
398941005	Hydrochlorothiazide + methyldopa
398944002	Trolamine salicylate
398944002	Trolamine salicylate
398948004	Deserpidine + methyclothiazide
398948004	Deserpidine + methyclothiazide
398953009	Acetylcarbromal
398953009	Acetylcarbromal
398955002	Phenolphthalein
398955002	Phenolphthalein
398957005	Choline theophyllinate
398960003	Erythrityl tetranitrate
398960003	Erythrityl tetranitrate
398961004	Lactobacillus acidophilus agent
398961004	Lactobacillus acidophilus agent
398962006	Deslanoside
398962006	Deslanoside
398965008	Levalbuterol
398965008	Levalbuterol
398969002	Methyclothiazide + reserpine
398969002	Methyclothiazide + reserpine
398973004	Guaifenesin + theophylline
398973004	Guaifenesin + theophylline
398981003	Pamabrom
398981003	Pamabrom
398986008	Xylitol
398986008	Xylitol
398989001	Aspirin + butalbital + caffeine
398989001	Aspirin + butalbital + caffeine
400361007	Chlorzoxozone
400361007	Chlorzoxozone
398923002	Alpha glucosidase
398923002	Alpha glucosidase
400266000	Hydrocolloid
400266000	Hydrocolloid
400268004	Ibuprofen+menthol
400268004	Ibuprofen+menthol
400300006	Casanthranol
400300006	Casanthranol
400305001	Carboxymethylcellulose sodium
400325002	Salicylamide
400325002	Salicylamide
400358006	Phenacemide
400358006	Phenacemide
400424004	Paramethadione
400424004	Paramethadione
400489006	Aspirin + methocarbamol
400489006	Aspirin + methocarbamol
400850005	Benzyl alcohol
400850005	Benzyl alcohol
400569008	Octatropine methylbromide
400556009	Fibre
400556009	Fibre
400602009	Pyrethrin
400602009	Pyrethrin
400606007	Quinethazone
400606007	Quinethazone
400607003	Calcium iodide
400607003	Calcium iodide
400614001	Papain
400614001	Papain
400660004	Ethchlorvynol
400660004	Ethchlorvynol
400718006	Benzquinamide
400718006	Benzquinamide
400745007	Methdilazine
400745007	Methdilazine
400799002	Iodinated glycerol
400799002	Iodinated glycerol
400807000	Phensuximide
400807000	Phensuximide
400848002	Polycarbophil
400848002	Polycarbophil
400864005	Chlorotrianisene
400864005	Chlorotrianisene
400874008	Benzthiazide
400874008	Benzthiazide
400907001	Arsenic trioxide
400907001	Arsenic trioxide
404782007	Suxamethonium bromide 124 mg oral tablet
404828001	Potassium hydroxyquinoline sulfate
404828001	Potassium hydroxyquinoline sulfate
404835009	Tositumomab
404835009	Tositumomab
404800007	Frangula
404800007	Frangula
404824004	Atenolol + chlorthalidone
404824004	Atenolol + chlorthalidone
404827006	Tyrothricin
404827006	Tyrothricin
404829009	Captopril + hydrochlorothiazide
404829009	Captopril + hydrochlorothiazide
404831000	Cetyl alcohol
404831000	Cetyl alcohol
404833002	Glycerol
404833002	Glycerol
404836005	Iodine-131
404836005	Iodine-131
404850000	Hydrochlorothiazide + triamterene
404850000	Hydrochlorothiazide + triamterene
404863006	Metaxalone
404863006	Metaxalone
404866003	Nilutamide
404866003	Nilutamide
404867007	Norelgestromin
404867007	Norelgestromin
404869005	Pancrelipase + amylase + lipase
404869005	Pancrelipase + amylase + lipase
404874002	Rhubarb
404874002	Rhubarb
404882002	Trometamol
404882002	Trometamol
407035002	Noradrenalin re-uptake inhibitor
407035002	Noradrenalin re-uptake inhibitor
407087003	Gemifloxacin
407087003	Gemifloxacin
407918003	Perindopril erbumine 4 mg and indapamide 1.25 mg oral tablet
408053005	Urea[13C] 50 mg oral tablet
406456001	NMDA receptor antagonist
406456001	NMDA receptor antagonist
406437006	Cyclic lipopeptide antibiotic
406440006	Cyclic lipopeptide antibiotic
406451006	Ferric hexacyanoferrate-II
406451006	Ferric hexacyanoferrate-II
406756000	Rifamycins
407129000	Abarelix
407129000	Abarelix
407314008	Enzyme inhibitor
407314008	Enzyme inhibitor
407316005	Phosphodiesterase 5 inhibitor
407316005	Phosphodiesterase 5 inhibitor
407753001	Nasal mometasone
407753001	Nasal mometasone
408148003	Glucosamine 500 mg/1 each oral capsule
409103005	Chlorhexidine and ethyl alcohol
409103005	Chlorhexidine and ethyl alcohol
409116005	Conjugated estrogens 0.9 mg oral tablet
409117001	Conjugated estrogens 0.45 mg oral tablet
409123006	Rosiglitazone 4 mg and metformin 500 mg oral tablet
409171006	Olanzapine 6 mg and fluoxetine 25 mg/1 each oral capsule
409172004	Olanzapine 6 mg and fluoxetine 50 mg/1 each oral capsule
409173009	Olanzapine 12 mg and fluoxetine 25 mg/1 each oral capsule
409174003	Olanzapine 12 mg and fluoxetine 50 mg/1 each oral capsule
409186000	Olmesartan medoxomil 40 mg and hydrochlorothiazide 25 mg oral tablet
409243007	Atropine and pralidoxime
409243007	Atropine and pralidoxime
406765007	Papaya and derivative
407826005	Dipyridamole 50mg/5mL oral suspension
409190003	Desogestrel 0.1 mg and ethinyl estradiol 0.025 mg oral tablet
409191004	Carbinoxamine maleate 4 mg oral tablet
409239008	Bupivacaine and lidocaine
409239008	Bupivacaine and lidocaine
409225008	Acesulphame potassium
409225008	Acesulphame potassium
408075007	Ibuprofen 300 mg and pseudoephedrine 45 mg/1 each oral capsule
409112007	Trichlormethiazide
409112007	Trichlormethiazide
409133003	Monobactam
409133003	Monobactam
409138007	Fenoldopam
409138007	Fenoldopam
409145007	Lansoprazole + naproxen
409145007	Lansoprazole + naproxen
409148009	Alosetron
409148009	Alosetron
409170007	Olanzapine + fluoxetine
409170007	Olanzapine + fluoxetine
409206005	Substance p/neurokinin 1 receptor antagonist
409206005	Substance p/neurokinin 1 receptor antagonist
409217006	Proteasome inhibitor
409217006	Proteasome inhibitor
409227000	Neuraminidase inhibitor
409227000	Neuraminidase inhibitor
409259007	Recombinant antihaemophilic factor agent
409259007	Recombinant antihaemophilic factor agent
409266008	Recombinant levo iduronidase
409266008	Recombinant levo iduronidase
409278007	Levobetaxolol
409278007	Levobetaxolol
409281002	Sertaconazole
409281002	Sertaconazole
409285006	Cevimeline
409285006	Cevimeline
409286007	Cevimeline 30 mg/1 each oral capsule
409308009	Bismuth subsalicylate and metronidazole and tetracycline
409308009	Bismuth subsalicylate and metronidazole and tetracycline
409320001	Conjugated estrogens 0.45 mg and medroxyprogesterone acetate 1.5 mg oral tablet
409321002	Conjugated estrogens 0.625 mg and medroxyprogesterone acetate 2.5 mg oral tablet
409358002	Imatinib mesylate 50 mg/1 each oral capsule
409371004	Doxercalciferol 2.5 microgram/1 each oral capsule
409376009	Calfactant
409376009	Calfactant
409311005	Aspirin+pravastatin
409311005	Aspirin+pravastatin
409323004	Dihydrostreptomycin
409323004	Dihydrostreptomycin
409327003	Manganese chloride
409327003	Manganese chloride
409368007	Guanidine
409368007	Guanidine
409374007	Perflexane
409374007	Perflexane
409324005	Dihydrostreptomycin sulfate
409388006	Leucovorin calcium 5 mg oral tablet
409390007	Calcimimetic preparation
409390007	Calcimimetic preparation
409398000	5-Aminolevulinic acid
409398000	5-Aminolevulinic acid
409403004	Epidermal growth factor receptor inhibitor
409403004	Epidermal growth factor receptor inhibitor
409407003	Angiogenesis inhibitor
409407003	Angiogenesis inhibitor
409411009	Amlodipine+atorvastatin
409411009	Amlodipine+atorvastatin
409412002	Amlodipine 5 mg and atorvastatin 10 mg oral tablet
409413007	Amlodipine 5 mg and atorvastatin 20 mg oral tablet
409414001	Amlodipine 5 mg and atorvastatin 40 mg oral tablet
409415000	Amlodipine 5 mg and atorvastatin 80 mg oral tablet
409416004	Amlodipine 10 mg and atorvastatin 10 mg oral tablet
409417008	Amlodipine 10 mg and atorvastatin 20 mg oral tablet
409418003	Amlodipine 10 mg and atorvastatin 40 mg oral tablet
409419006	Amlodipine 10 mg and atorvastatin 80 mg oral tablet
409421001	Eszopiclone
409421001	Eszopiclone
409455003	Miconazole+tioconazole
409455003	Miconazole+tioconazole
409457006	Fosinopril+hydrochlorothiazide
409457006	Fosinopril+hydrochlorothiazide
409477004	Gadoversetamide
409477004	Gadoversetamide
409480003	Naproxen and pseudoephedrine
409480003	Naproxen and pseudoephedrine
409482006	Levomethadyl
409482006	Levomethadyl
409484007	Ioxilan
409484007	Ioxilan
409489002	Chlorzoxazone 500 mg oral tablet
409489002	Chlorzoxazone 500 mg oral tablet
410830003	Ethinyl estradiol 0.035 mg and norgestimate 0.18 mg oral tablet
410834007	Amino acid and glycerol
410839002	Pyridostigmine bromide 30 mg oral tablet
410855009	Perfluoroalkylpolyether and polytetrafluoroethylene
410855009	Perfluoroalkylpolyether and polytetrafluoroethylene
410861007	Carbidopa 12.5 mg and levodopa 50 mg and entacapone 200 mg oral tablet
410862000	Carbidopa 25 mg and levodopa 100 mg and entacapone 200 mg oral tablet
410889005	Timolol maleate 10 mg and hydrochlorothiazide 25 mg oral tablet
410863005	Carbidopa 37.5 mg and levodopa 150 mg and entacapone 200 mg oral tablet
410868001	Ethiodized oil
410868001	Ethiodized oil
410877008	Eprosartan 600 mg and hydrochlorothiazide 25 mg oral tablet
410878003	Eprosartan 600 mg and hydrochlorothiazide 12.5 mg oral tablet
410888002	Trimethobenzamide hydrochloride 300 mg/1 each oral capsule
410681005	Number
410845005	Unoprostone isopropyl
410845005	Unoprostone isopropyl
410876004	Eprosartan and hydrochlorothiazide
410876004	Eprosartan and hydrochlorothiazide
410892009	Fluorometholone and tobramycin
410892009	Fluorometholone and tobramycin
410894005	Fluocinolone acetonide and hydroquinone and tretinoin
410899000	Chlorphenamine polistirex and hydrocodone polistirex
410902002	Moexipril hydrochloride 7.5 mg and hydrochlorothiazide 12.5 mg oral tablet
410903007	Moexipril hydrochloride 15 mg and hydrochlorothiazide 12.5 mg oral tablet
410904001	Moexipril hydrochloride 15 mg and hydrochlorothiazide 25 mg oral tablet
410905000	Methylene blue 65 mg oral tablet
410922003	Bisoprolol fumarate 2.5 mg and hydrochlorothiazide 6.25 mg oral tablet
410933000	Trimethoprim 160 mg and sulfamethoxazole 800 mg and phenazopyridine hydrochloride 200 mg oral tablet
410945009	Clotrimazole and fluconazole
410945009	Clotrimazole and fluconazole
410978002	^90^Yttrium chloride
410910001	Ketolide
410910001	Ketolide
410931003	Tazobactam
410931003	Tazobactam
410938009	Oprelvekin
410938009	Oprelvekin
411060003	Gray elder pollen allergen
411095000	Docosanol
411095000	Docosanol
411097008	Pegademase bovine
411097008	Pegademase bovine
411128009	4-tert-Butylphenol formaldehyde resin
411128009	4-tert-Butylphenol formaldehyde resin
411130006	Balsam of Peru
411130006	Balsam of Peru
411131005	Cobalt chloride
411131005	Cobalt chloride
411132003	Colophony
411132003	Colophony
411133008	Ethylenediamine dihydrochloride
411133008	Ethylenediamine dihydrochloride
411136000	Mercaptobenzothiazole
411136000	Mercaptobenzothiazole
411138004	Mercaptobenzothiazole zinc
411139007	N-Isopropyl-N'-phenyl paraphenylenediamine
411139007	N-Isopropyl-N'-phenyl paraphenylenediamine
411141008	p-Phenylenediamine
411141008	p-Phenylenediamine
411143006	Potassium dichromate
411143006	Potassium dichromate
411144000	Quaternium 15
411144000	Quaternium 15
411149005	1,6-Hexanediol diacrylate
411149005	1,6-Hexanediol diacrylate
411151009	2-Hydroxyethyl acrylate
411151009	2-Hydroxyethyl acrylate
411152002	2-Hydroxyethyl methacrylate
411152002	2-Hydroxyethyl methacrylate
411153007	2-Hydroxypropyl methacrylate
411153007	2-Hydroxypropyl methacrylate
411154001	Butyl acrylate
411154001	Butyl acrylate
411155000	Ethyl acrylate
411155000	Ethyl acrylate
411156004	Ethyl methacrylate
411156004	Ethyl methacrylate
411157008	Ethyleneglycol dimethacrylate
411157008	Ethyleneglycol dimethacrylate
411158003	n-Butyl methacrylate
411158003	n-Butyl methacrylate
411159006	Tetrahydrofurfuryl methacrylate
411159006	Tetrahydrofurfuryl methacrylate
411160001	Triethyleneglycol diacrylate
411160001	Triethyleneglycol diacrylate
411161002	Triethyleneglycol dimethacrylate
411161002	Triethyleneglycol dimethacrylate
411162009	Trimethylolpropane triacrylate
411162009	Trimethylolpropane triacrylate
411163004	1,4-Butanediol diacrylate
411163004	1,4-Butanediol diacrylate
411164005	2-Ethylhexyl acrylate
411164005	2-Ethylhexyl acrylate
411165006	2-Hydroxypropyl acrylate
411165006	2-Hydroxypropyl acrylate
411166007	Diethyl methacrylate
411166007	Diethyl methacrylate
411167003	Diethyleneglycol diacrylate
411167003	Diethyleneglycol diacrylate
411168008	Epoxy acrylate
411168008	Epoxy acrylate
411169000	Methyl methacrylate
411169000	Methyl methacrylate
411170004	N,N-Methylenebisacrylamide
411170004	N,N-Methylenebisacrylamide
411171000	Oligotriacrylate 480
411171000	Oligotriacrylate 480
411172007	Pentaerythritol triacrylate
411172007	Pentaerythritol triacrylate
411174008	Tripropyleneglycol diacrylate
411174008	Tripropyleneglycol diacrylate
411175009	Urethane diacrylate, aliphatic
411175009	Urethane diacrylate, aliphatic
411176005	Urethane diacrylate, aromatic
411176005	Urethane diacrylate, aromatic
411185005	Benzotriazole
411185005	Benzotriazole
411178006	1,3,5-Tris(2-hydroxyethyl)-hexahydrotriazine
411178006	1,3,5-Tris(2-hydroxyethyl)-hexahydrotriazine
411179003	2-Bromo-2-nitropropane-1,3-diol
411179003	2-Bromo-2-nitropropane-1,3-diol
411180000	2-Chloro-N-hydroxy methylacetamide
411180000	2-Chloro-N-hydroxy methylacetamide
411182008	4-Chloro-3-cresol
411182008	4-Chloro-3-cresol
411187002	Benzyl para-hydroxybenzoate
411187002	Benzyl para-hydroxybenzoate
411188007	Butyl para-hydroxybenzoate
411188007	Butyl para-hydroxybenzoate
411189004	Butylated hydroxyanisole
411189004	Butylated hydroxyanisole
411190008	Butylated hydroxytoluene
411190008	Butylated hydroxytoluene
411196002	Chloroacetamide
411196002	Chloroacetamide
411197006	Clorquinaldol
411197006	Clorquinaldol
411198001	Ethyl 4-hydroxybenzoate
411198001	Ethyl 4-hydroxybenzoate
411204003	Methyl 4-hydroxybenzoate
411204003	Methyl 4-hydroxybenzoate
411208000	Propyl 4-hydroxybenzoate
411208000	Propyl 4-hydroxybenzoate
411210003	Sorbic acid
411210003	Sorbic acid
411211004	Thimerosal
411211004	Thimerosal
411236005	Anethole
411236005	Anethole
411237001	Dodecyl gallate
411237001	Dodecyl gallate
411238006	Limonene
411238006	Limonene
411239003	Propionate
411239003	Propionate
411240001	2-(2-Hydroxy-5-methylphenyl)benzotriazole
411240001	2-(2-Hydroxy-5-methylphenyl)benzotriazole
411241002	2-tert-Butyl-4-methoxyphenol
411241002	2-tert-Butyl-4-methoxyphenol
411244005	Benzyl salicylate
411244005	Benzyl salicylate
411250000	Euxyl K 400
411253003	Isopropyl myristate
411253003	Isopropyl myristate
411254009	Octyl gallate
411254009	Octyl gallate
411256006	Phenyl salicylate
411256006	Phenyl salicylate
411258007	Propyl gallate
411258007	Propyl gallate
411261008	Propylene glycol dinitrate
411265004	tert-Butylhydroquinone
411265004	tert-Butylhydroquinone
411266003	Triethanolamine
411266003	Triethanolamine
411267007	Diethylenetriamine
411267007	Diethylenetriamine
411268002	Epoxy resin - cycloaliphatic
411268002	Epoxy resin - cycloaliphatic
411269005	Isophorone diamine
411269005	Isophorone diamine
411270006	p,p'-Diaminodiphenylmethane
411270006	p,p'-Diaminodiphenylmethane
411271005	Phenyl glycidyl ether
411271005	Phenyl glycidyl ether
411273008	Amyl cinnamaldehyde
411273008	Amyl cinnamaldehyde
411274002	Cananga oil
411274002	Cananga oil
411275001	Geranium oil, Bourbon
411275001	Geranium oil, Bourbon
411276000	Jasmine absolute, Egyptian
411276000	Jasmine absolute, Egyptian
411277009	Jasmine synthetic
411277009	Jasmine synthetic
411278004	Lavender absolute
411278004	Lavender absolute
411280005	Musk moskene
411280005	Musk moskene
411290002	Captan
411290002	Captan
411140009	Nickel sulphate
411140009	Nickel sulphate
411288003	Ammonium persulphate
411288003	Ammonium persulphate
411281009	Musk tibetine
411281009	Musk tibetine
411283007	Sandalwood oil
411283007	Sandalwood oil
411284001	Ylang-Ylang oil
411284001	Ylang-Ylang oil
411287008	3-Aminophenol
411287008	3-Aminophenol
411289006	Ammonium thioglycolate
411289006	Ammonium thioglycolate
411282002	Rose oil, Bulgarian
411282002	Rose oil, Bulgarian
411202004	Imidazolidinyl urea
411202004	Imidazolidinyl urea
411291003	Glyceryl monothioglycolate
411291003	Glyceryl monothioglycolate
411292005	o-Nitro-p-phenylenediamine
411292005	o-Nitro-p-phenylenediamine
411297004	Zinc pyrithione
411297004	Zinc pyrithione
411298009	1,6-Hexamethylene di-isocyanate
411298009	1,6-Hexamethylene di-isocyanate
411299001	Diphenylmethane di-isocyanate
411299001	Diphenylmethane di-isocyanate
411300009	Isophorone di-isocyanate
411300009	Isophorone di-isocyanate
411301008	Toluene di-isocyanate
411301008	Toluene di-isocyanate
411306003	Arnica tincture
411306003	Arnica tincture
411315005	Oil of male fern
411315005	Oil of male fern
411316006	Safflower oil
411316006	Safflower oil
411318007	Propolis
411318007	Propolis
411319004	Quinoline yellow
411319004	Quinoline yellow
411322002	Ammonium tetrachloroplatinate
411322002	Ammonium tetrachloroplatinate
411325000	Cuprous oxide
411325000	Cuprous oxide
411326004	Gold sodium thiosulphate
411326004	Gold sodium thiosulphate
411328003	Mercury ammonium chloride
411328003	Mercury ammonium chloride
411333004	Zinc diethyldithiocarbamate
411333004	Zinc diethyldithiocarbamate
411334005	1,2-Benzisothiazolin-3-one
411334005	1,2-Benzisothiazolin-3-one
411335006	2-n-Octyl-4-isothiazolin-3-one
411335006	2-n-Octyl-4-isothiazolin-3-one
411336007	4-tert-Butylbenzoic acid
411336007	4-tert-Butylbenzoic acid
411337003	Abietic acid
411337003	Abietic acid
411341004	2-Phenylphenol
411341004	2-Phenylphenol
411342006	Coconut diethanolamide
411342006	Coconut diethanolamide
411343001	Dichlorophene
411343001	Dichlorophene
411344007	Hydrazine sulphate
411346009	Trichlorocarbanilide
411346009	Trichlorocarbanilide
411347000	Tris nitro
411347000	Tris nitro
411348005	Disperse Blue 3
411348005	Disperse Blue 3
411349002	Disperse Orange 3
411349002	Disperse Orange 3
411350002	Disperse Red 1
411350002	Disperse Red 1
411351003	Disperse Red 17
411351003	Disperse Red 17
411352005	Disperse Yellow 3
411352005	Disperse Yellow 3
411354006	p-Aminophenol
411354006	p-Aminophenol
411356008	Benzaldehyde
411356008	Benzaldehyde
411357004	Benzyl cinnamate
411357004	Benzyl cinnamate
411358009	Cinnamaldehyde
411358009	Cinnamaldehyde
411359001	Cinnamyl alcohol
411359001	Cinnamyl alcohol
411361005	Eugenol
411361005	Eugenol
411362003	Geraniol
411362003	Geraniol
411363008	Hydroxycitronellal
411363008	Hydroxycitronellal
411364002	Isoeugenol
411364002	Isoeugenol
411365001	Laurel oil
411365001	Laurel oil
411369007	Bitter orange oil
411369007	Bitter orange oil
411366000	Lemon oil
411366000	Lemon oil
411367009	Oak Moss Absolute
411367009	Oak Moss Absolute
411368004	Oil of lemon grass
411368004	Oil of lemon grass
411370008	Nutmeg oil
411370008	Nutmeg oil
411371007	Oil of mustard
411371007	Oil of mustard
411372000	Orange flower oil
411372000	Orange flower oil
411373005	Orange oil
411373005	Orange oil
411375003	Pine needle oil
411375003	Pine needle oil
411376002	Pine oil
411376002	Pine oil
411377006	Salicylaldehyde
411377006	Salicylaldehyde
411378001	Vanillin
411378001	Vanillin
411379009	Benomyl
411379009	Benomyl
411380007	Captafol
411380007	Captafol
411381006	Folpet
411381006	Folpet
411382004	Maneb
411382004	Maneb
411383009	Pyrethrum
411383009	Pyrethrum
411384003	Zineb
411384003	Zineb
411386001	Ziram
411386001	Ziram
411387005	Mercuric chloride
411387005	Mercuric chloride
411389008	Atranorin
411389008	Atranorin
411390004	D-Usnic acid
411390004	D-Usnic acid
411391000	Everninic acid
411391000	Everninic acid
411392007	Fenticlor
411392007	Fenticlor
411394008	Musk ambrette
411394008	Musk ambrette
411395009	Musk ketone
411395009	Musk ketone
411396005	Musk xylene
411396005	Musk xylene
411398006	Tetrachlorsalicylanilide
411398006	Tetrachlorsalicylanilide
411399003	Thiourea
411399003	Thiourea
411400005	Tribromsalan
411400005	Tribromsalan
411401009	Dibromsalicylanilide
411401009	Dibromsalicylanilide
411404001	4-Amino-N,N-diethylaniline sulphate
411404001	4-Amino-N,N-diethylaniline sulphate
411405000	4-Methylaminophenol sulphate
411415006	Phenidone
411415006	Phenidone
411416007	Pyrocatechol
411416007	Pyrocatechol
411417003	Tricresyl phosphate
411417003	Tricresyl phosphate
411418008	Triphenyl phosphate
411418008	Triphenyl phosphate
411419000	Alpha-pinene
411419000	Alpha-pinene
411429007	Usnic acid
411429007	Usnic acid
411430002	L-Usnic acid
411430002	L-Usnic acid
411432005	2-Monomethylol phenol
411432005	2-Monomethylol phenol
411433000	2-Phenylindole
411433000	2-Phenylindole
411434006	4-Aminoazobenzene
411434006	4-Aminoazobenzene
411435007	4-tertiary Butylcatechol
411435007	4-tertiary Butylcatechol
411436008	Azodiisobutyrodinitrile
411436008	Azodiisobutyrodinitrile
411437004	Bisphenol A
411437004	Bisphenol A
411438009	Cresylglycidyl ether
411438009	Cresylglycidyl ether
411439001	Cyclohexanone resin
411439001	Cyclohexanone resin
411440004	Di-2-ethylhexyl phthalate
411440004	Di-2-ethylhexyl phthalate
411441000	Di-isodecylphthalate
411441000	Di-isodecylphthalate
411442007	Di-n-butylphthalate
411442007	Di-n-butylphthalate
411443002	Diethyl phthalate
411443002	Diethyl phthalate
411444008	Dimethylphthalate
411444008	Dimethylphthalate
411445009	Diphenylthiourea
411445009	Diphenylthiourea
411446005	Epichlorohydrin
411446005	Epichlorohydrin
411448006	Melamine formaldehyde resin
411448006	Melamine formaldehyde resin
411449003	N,N-Dimethyl-p-toluidine
411449003	N,N-Dimethyl-p-toluidine
411450003	n-Butylglycidylether
411450003	n-Butylglycidylether
411451004	p-tert-Butylphenol
411451004	p-tert-Butylphenol
411453001	Resorcinol monobenzoate
411454007	Toluenesulphonamide formaldehyde resin
411454007	Toluenesulphonamide formaldehyde resin
411455008	Triglycidyl isocyanurate
411455008	Triglycidyl isocyanurate
411456009	Triphenylmethane triisocyanate
411456009	Triphenylmethane triisocyanate
411458005	Camphene
411458005	Camphene
411459002	Pinene
411459002	Pinene
411461006	Rectified birch tar oil
411461006	Rectified birch tar oil
411462004	Rectified pine tar oil
411462004	Rectified pine tar oil
411463009	Tar oil
411463009	Tar oil
411464003	Terebene
411464003	Terebene
411465002	Urea formaldehyde resin
411465002	Urea formaldehyde resin
411466001	1,3-Diphenylguanidine (DPG)
411466001	1,3-Diphenylguanidine (DPG)
